 [2025-11-15 14:27:52] iteration        1/30517578 | consumed samples:           64 | elapsed time per iteration (ms): 109254.3 | throughput per GPU (TFLOP/s/GPU): 121.6 | learning rate: 1.310719E-09 | decoupled learning rate: 3.276798E-09 | global batch size:    64 | lm loss: 1.195438E+01 | loss scale: 1.0 | grad norm: 80.555 | number of skipped iterations:   0 | number of nan iterations:   0 |
[Rank 63] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87832.0 | max reserved: 95056.0[Rank 61] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87832.0 | max reserved: 95056.0
[Rank 62] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87832.0 | max reserved: 95056.0[Rank 60] (after 1 iterations) memory (MB) | allocated: 87122.2958984375 | max allocated: 94772.328125 | reserved: 87844.0 | max reserved: 95026.0


 [2025-11-15 14:28:31] iteration        2/30517578 | consumed samples:          128 | elapsed time per iteration (ms): 38995.9 | throughput per GPU (TFLOP/s/GPU): 340.8 | learning rate: 2.621439E-09 | decoupled learning rate: 6.553597E-09 | global batch size:    64 | lm loss: 1.195624E+01 | loss scale: 1.0 | grad norm: 30.482 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:29:08] iteration        3/30517578 | consumed samples:          192 | elapsed time per iteration (ms): 37248.9 | throughput per GPU (TFLOP/s/GPU): 356.8 | learning rate: 3.932158E-09 | decoupled learning rate: 9.830395E-09 | global batch size:    64 | lm loss: 1.195643E+01 | loss scale: 1.0 | grad norm: 30.938 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:29:45] iteration        4/30517578 | consumed samples:          256 | elapsed time per iteration (ms): 37035.4 | throughput per GPU (TFLOP/s/GPU): 358.8 | learning rate: 5.242877E-09 | decoupled learning rate: 1.310719E-08 | global batch size:    64 | lm loss: 1.195548E+01 | loss scale: 1.0 | grad norm: 30.597 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:30:22] iteration        5/30517578 | consumed samples:          320 | elapsed time per iteration (ms): 36873.7 | throughput per GPU (TFLOP/s/GPU): 360.4 | learning rate: 6.553597E-09 | decoupled learning rate: 1.638399E-08 | global batch size:    64 | lm loss: 1.195526E+01 | loss scale: 1.0 | grad norm: 29.592 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:30:57] iteration        6/30517578 | consumed samples:          384 | elapsed time per iteration (ms): 35162.4 | throughput per GPU (TFLOP/s/GPU): 377.9 | learning rate: 7.864316E-09 | decoupled learning rate: 1.966079E-08 | global batch size:    64 | lm loss: 1.195497E+01 | loss scale: 1.0 | grad norm: 30.367 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:31:34] iteration        7/30517578 | consumed samples:          448 | elapsed time per iteration (ms): 36844.7 | throughput per GPU (TFLOP/s/GPU): 360.7 | learning rate: 9.175035E-09 | decoupled learning rate: 2.293759E-08 | global batch size:    64 | lm loss: 1.195669E+01 | loss scale: 1.0 | grad norm: 30.367 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:32:11] iteration        8/30517578 | consumed samples:          512 | elapsed time per iteration (ms): 36701.9 | throughput per GPU (TFLOP/s/GPU): 362.1 | learning rate: 1.048575E-08 | decoupled learning rate: 2.621439E-08 | global batch size:    64 | lm loss: 1.195517E+01 | loss scale: 1.0 | grad norm: 30.588 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:32:48] iteration        9/30517578 | consumed samples:          576 | elapsed time per iteration (ms): 36671.0 | throughput per GPU (TFLOP/s/GPU): 362.4 | learning rate: 1.179647E-08 | decoupled learning rate: 2.949118E-08 | global batch size:    64 | lm loss: 1.195355E+01 | loss scale: 1.0 | grad norm: 30.141 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:33:24] iteration       10/30517578 | consumed samples:          640 | elapsed time per iteration (ms): 36162.4 | throughput per GPU (TFLOP/s/GPU): 367.5 | learning rate: 1.310719E-08 | decoupled learning rate: 3.276798E-08 | global batch size:    64 | lm loss: 1.195473E+01 | loss scale: 1.0 | grad norm: 30.462 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:34:00] iteration       11/30517578 | consumed samples:          704 | elapsed time per iteration (ms): 35904.3 | throughput per GPU (TFLOP/s/GPU): 370.1 | learning rate: 1.441791E-08 | decoupled learning rate: 3.604478E-08 | global batch size:    64 | lm loss: 1.195375E+01 | loss scale: 1.0 | grad norm: 31.439 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:34:36] iteration       12/30517578 | consumed samples:          768 | elapsed time per iteration (ms): 35813.7 | throughput per GPU (TFLOP/s/GPU): 371.0 | learning rate: 1.572863E-08 | decoupled learning rate: 3.932158E-08 | global batch size:    64 | lm loss: 1.194773E+01 | loss scale: 1.0 | grad norm: 29.659 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:35:12] iteration       13/30517578 | consumed samples:          832 | elapsed time per iteration (ms): 36846.8 | throughput per GPU (TFLOP/s/GPU): 360.6 | learning rate: 1.703935E-08 | decoupled learning rate: 4.259838E-08 | global batch size:    64 | lm loss: 1.194634E+01 | loss scale: 1.0 | grad norm: 29.972 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:35:48] iteration       14/30517578 | consumed samples:          896 | elapsed time per iteration (ms): 35520.6 | throughput per GPU (TFLOP/s/GPU): 374.1 | learning rate: 1.835007E-08 | decoupled learning rate: 4.587518E-08 | global batch size:    64 | lm loss: 1.194335E+01 | loss scale: 1.0 | grad norm: 30.734 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2025-11-15 14:36:24] iteration       15/30517578 | consumed samples:          960 | elapsed time per iteration (ms): 36247.2 | throughput per GPU (TFLOP/s/GPU): 366.6 | learning rate: 1.966079E-08 | decoupled learning rate: 4.915197E-08 | global batch size:    64 | lm loss: 1.194164E+01 | loss scale: 1.0 | grad norm: 29.718 | number of skipped iterations:   0 | number of nan iterations:   0 |
